LAST_UPLOAD_DATE,NEW_LICNO,REFERENCE_NUMBER,SERVICE,NEW_ACCOUNT,LICENSEE,LOCATION,STATION_TYPE,TECHNOLOGY,CELL_ID,PHYSICAL_ID,PROV,LATITUDE,LONGITUDE,SITE_TYPE,STUCT_HT,STRUCTURE_TYPE,LAST_MOD_DATE,RECORD_ID,TRANSMIT_FREQ,RECEIVE_FREQ,TX_MODEL,TX_MFR,TRANSMIT_BW,BW_EMISSION,TX_PWR,TX_ANT_MODEL,TX_ANT_MFR,TX_ANT_HT,TX_ANT_DIRECTIONAL,TX_ANT_AZIM,TX_ANT_ELEV_ANGLE,TX_ANT_GAIN,TX_LINE_LOSS,DEM_GROUND_ELEV_M,SITE_ELEV,ANTENNA_Z_M
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1030 South Park Street,FX,LTE,610-58000-141242409,153.0,NS,44.634639,-63.576333,O,1.0,R,2021-10-15,J1406,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,95.0,-4.0,13.2,0.0,19.205705642700195,19.205705642700195,20.205705642700195
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1030 South Park Street,FX,LTE,610-58000-141242410,307.0,NS,44.634639,-63.576333,O,1.0,R,2021-10-15,J1406,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,190.0,-4.0,13.2,0.0,19.205705642700195,19.205705642700195,20.205705642700195
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1030 South Park Street,FX,LTE,610-58000-141242411,101.0,NS,44.634639,-63.576333,O,1.0,R,2021-10-15,J1406,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,330.0,0.0,13.2,0.0,19.205705642700195,19.205705642700195,20.205705642700195
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1181 HOLLIS ST,FX,LTE,610-58000-141570345,262.0,NS,44.640097,-63.568233,O,1.0,R,2021-07-09,J0915,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,FFV4_65A_R6,Commscope,1.0,D,330.0,-6.0,12.7,0.0,6.322375774383545,6.322375774383545,7.322375774383545
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1181 HOLLIS ST,FX,LTE,610-58000-141570346,263.0,NS,44.640097,-63.568233,O,1.0,R,2021-10-15,J0915,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,FFV4_65A_R6,Commscope,1.0,D,180.0,-4.0,12.7,0.0,6.322375774383545,6.322375774383545,7.322375774383545
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1181 HOLLIS ST,FX,LTE,610-58000-141570347,261.0,NS,44.640097,-63.568233,O,1.0,R,2021-10-15,J0915,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,FFV4_65A_R6,Commscope,1.0,D,250.0,-6.0,12.7,0.0,6.322375774383545,6.322375774383545,7.322375774383545
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1209 Marginal Road,FX,LTE,610-58000-142909481,273.0,NS,44.640184,-63.56603,I,1.0,O,2023-01-26,J4390,1952.5,1872.5,FWFB,661AF,20.0,20M0W7W,40.02,FA2EA,NSN,1.0,N,0.0,0.0,2.0,0.0,3.0083606243133545,3.0083606243133545,4.0083606243133545
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1210 Barrington Street,FX,LTE,610-58000-141303337,193.0,NS,44.649722,-63.576667,O,1.0,R,2021-10-15,J0694,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,310.0,0.0,13.2,0.0,19.858142852783203,19.858142852783203,20.858142852783203
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1210 Barrington Street,FX,LTE,610-58000-141303338,194.0,NS,44.649722,-63.576667,O,1.0,R,2021-07-09,J0694,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,160.0,-2.0,13.2,0.0,19.858142852783203,19.858142852783203,20.858142852783203
2026-03-28,010288577-001,Upload 26-MAR-26,PCS,7093900105,Bell Mobility Inc.,1210 Barrington Street,FX,LTE,610-58000-141303339,192.0,NS,44.649722,-63.576667,O,1.0,R,2021-10-15,J0694,1952.5,1872.5,FS1616361,287AB,20.0,20M0W7W,52.0,RRZZHHTT_65A_R6H4,Commscope,1.0,D,250.0,0.0,13.2,0.0,19.858142852783203,19.858142852783203,20.858142852783203
